SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,distance_to_bart_miles,within_0_5_miles_bart,distance_to_quality_school_miles,nearest_quality_school_name,nearest_quality_school_quality_distance,nearest_quality_school_quality_level,within_2_miles_quality_school,within_0_5_mile_quality_school,within_1_mile_quality_school,price_num,grade,holc_grade,holc_color,is_HOLC_A,is_HOLC_B,is_HOLC_C,is_HOLC_D,is_HOLC_red,sale_date,sale_year,year_built,sale_year_num,age_at_sale,dist_to_grocery_miles,dist_to_retail_dining_miles,dist_to_shopping_center_miles,dist_to_hiking_miles,dist_to_waterfront_miles,dist_to_employer_industrial_miles,dist_to_employer_pixar_miles,dist_to_employer_downtown_miles,dist_to_employer_college_miles,zip_code
PAST SALE,November-13-2020,Single Family Residential,5917 Balboa Dr,Oakland,CA,94611,1310000,4,3.5,MONTCLAIR,2440,5372,2017,NA,537,NA,Sold,NA,NA,https://www.redfin.com/CA/Oakland/5917-Balboa-Dr-94611/home/17519291,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40923547,N,Y,37.8316557,-122.2009929,2.8908477383018103,0,0.6460560783271319,Montclair Elementary,30.75,4,1,0,1,1310000,A,A,green,1,0,0,0,0,2020-11-13,2020,2017,2020,3,2.80341391179211,0.5788832745143245,4.959868890480395,1.6652944735643138,4.8323123373405785,4.919235865570067,4.513627903879887,3.7874043001902513,4.122724742181866,94611
PAST SALE,November-25-2020,Single Family Residential,3230 Stuart St,Oakland,CA,94602,1180000,4,3,BELLA VISTA HILL,1966,4550,1900,NA,600,NA,Sold,NA,NA,https://www.redfin.com/CA/Oakland/3230-Stuart-St-94602/home/534689,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40925809,N,Y,37.8005548,-122.230775,1.8091694159048064,0,0.23771712801084863,Edna Brewer Middle,-3.8499999999999996,4,1,1,1,1180000,C,C,yellow,0,0,1,0,0,2020-11-25,2020,1900,2020,120,0.9744081047874849,0.9967323263523991,2.8406179792392687,2.513407578082329,2.5150183800930974,2.643959205003336,3.6424395312081863,1.9034709578972402,5.014266268048833,94602
PAST SALE,March-17-2021,Single Family Residential,29 Kingwood Rd,Oakland,CA,94619,1325000,4,2.5,REDWOOD HTS,2009,5280,1980,NA,660,NA,Sold,NA,NA,https://www.redfin.com/CA/Oakland/29-Kingwood-Rd-94619/home/567134,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40937795,N,Y,37.79647,-122.1766671,2.992199841999311,0,0.5254242181010217,Redwood Heights Elementary,41,5,1,0,1,1325000,C,C,yellow,0,0,1,0,0,2021-03-17,2021,1980,2021,41,3.803242893197085,2.8580541979824754,5.703539617228935,1.0383027252242318,5.439343305364351,5.577555973367764,6.354908346589264,4.845839681218248,6.771645165281189,94619
PAST SALE,November-29-2023,Single Family Residential,7063 Thornhill Dr,Oakland,CA,94611,1450000,4,2,MONTCLAIR,1947,10500,1952,NA,745,NA,Sold,NA,NA,https://www.redfin.com/CA/Oakland/7063-Thornhill-Dr-94611/home/1459308,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41043803,N,Y,37.8388946,-122.2025801,2.6896208141889395,0,0.5224680876172855,Thornhill Elementary,36.7,4,1,0,1,1450000,B,B,blue,0,1,0,0,0,2023-11-29,2023,1952,2023,71,2.768281911436663,0.8685744292276218,4.885467934611961,1.1859104810912366,5.043721332670237,5.1185753751338146,4.44708633851352,3.9478906583737428,3.752996326930733,94611
PAST SALE,October-13-2022,Single Family Residential,8130 Hansom Dr,Oakland,CA,94605,1525000,4,3,SEQUOYAH HILLS,2354,11396,1972,NA,648,11,Sold,NA,NA,https://www.redfin.com/CA/Oakland/8130-Hansom-Dr-94605/home/1946425,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41007794,N,Y,37.7715197,-122.1356533,3.562882937574723,0,1.8265457522184136,Francophone Charter School Of Oakland,10.1,4,1,0,0,1525000,NA,NA,NA,0,0,0,0,0,2022-10-13,2022,1972,2022,50,4.318804227073732,5.652550036917885,4.936695460249032,3.8061614179512047,7.84614114176709,5.3240367589585675,9.11982152973116,7.468571842174312,9.563578002799579,94605
PAST SALE,April-8-2022,Single Family Residential,2995 Burdeck Dr,Oakland,CA,94602,2200000,4,4.5,JOAQUIN MILLER,5180,6806,1951,NA,425,NA,Sold,NA,NA,https://www.redfin.com/CA/Oakland/2995-Burdeck-Dr-94602/home/709978,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40983608,N,Y,37.8093276,-122.1943709,2.882546285140498,0,0.7541340358639803,Joaquin Miller Elementary,2.5,4,1,0,1,2200000,A,A,green,1,0,0,0,0,2022-04-08,2022,1951,2022,71,2.723629734525996,1.5638071794480568,4.9182648462140905,0.44906651003346737,4.581730001311003,4.7047138991889,5.13506844763153,3.803987607283725,5.466704080009688,94602
PAST SALE,August-18-2022,Single Family Residential,2348 E 19th St,Oakland,CA,94601,895000,4,3,EAST OAKLAND,1413,3500,1896,NA,633,NA,Sold,NA,NA,https://www.redfin.com/CA/Oakland/2348-E-19th-St-94601/home/1880616,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41002714,N,Y,37.7862269,-122.2314471,0.8778374951446455,0,0.6674348077776511,Downtown Charter Academy,51.05,5,1,0,1,895000,D,D,red,0,0,0,1,1,2022-08-18,2022,1896,2022,126,1.7721814196082164,1.8119006531279802,2.695873082577243,2.9499052304906632,2.5189815900769776,2.6691888811276683,4.293247028347112,2.3657810422118906,5.95348773378772,94601
PAST SALE,July-10-2024,Single Family Residential,12 White Ct,Oakland,CA,94611,1661000,4,2.5,MONTCLAIR,2545,8481,1992,NA,653,NA,Sold,NA,NA,https://www.redfin.com/CA/Oakland/12-White-Ct-94611/home/1903228,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41063376,N,Y,37.8346681,-122.187903,3.0322150468519995,0,1.2930185316163192,Thornhill Elementary,36.7,4,1,0,0,1661000,A,A,green,1,0,0,0,0,2024-07-10,2024,1992,2024,32,3.5236000088870063,1.3183958644897618,5.6729545858510315,1.7417587305465811,5.552897643688788,5.64401562907607,5.22912301474071,4.524753843972169,4.5838806789456426,94611
PAST SALE,May-6-2021,Single Family Residential,11 Avonoak Ct,Oakland,CA,94605,1688000,4,2,Sequoyah Hills,2430,10729,1965,NA,695,NA,Sold,NA,NA,https://www.redfin.com/CA/Oakland/11-Avonoak-Ct-94605/home/577708,BAREIS,321024453,N,Y,37.7811199,-122.1440013,3.4535669958780235,0,2.1803179095877727,Francophone Charter School Of Oakland,10.1,4,0,0,0,1688000,NA,NA,NA,0,0,0,0,0,2021-05-06,2021,1965,2021,56,4.652375367518626,4.86749084853477,5.655846312762401,3.0231465271651854,7.284470351397224,5.517249771038184,8.416613903677508,6.8275315448849225,8.773103140239517,94605
PAST SALE,May-28-2021,Single Family Residential,261 Sequoyah View Dr,Oakland,CA,94605,1350000,4,3,SEQUOYAH HILLS,1964,9548,1960,NA,687,NA,Sold,NA,NA,https://www.redfin.com/CA/Oakland/261-Sequoyah-View-Dr-94605/home/1363589,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40947855,N,Y,37.7599398,-122.1408536,2.8515819448674846,0,1.0757773026018567,Francophone Charter School Of Oakland,10.1,4,1,0,0,1350000,NA,NA,NA,0,0,0,0,0,2021-05-28,2021,1960,2021,61,3.5117214859760293,6.04967092194587,4.185123472727325,4.223962352362084,7.7788008789022145,4.577889641485076,9.277584811978567,7.52631965940103,9.959420608664004,94605
